listing_id,source,category,make,model,year,engine_cc,fuel_type,transmission,mileage_km,color,condition,num_owners,registered,registration_city,city,price_pkr,listing_date
PK-88295968,PakWheels,Motorcycle,Honda,CB 150F,2019,150,Petrol,Manual,58000,Grey,Excellent,2,No,Un-Registered,Peshawar,256000,2023-04-22
PK-60641104,PakWheels,Car,Changan,Oshan X7,2023,1500,Petrol,CVT,13000,Pearl White,Good,2,Yes,Larkana,Lahore,7091000,2024-05-07
PK-88853513,OLX,Motorcycle,Yamaha,MT-15,2021,155,Petrol,Manual,27600,White,Good,1,Yes,Larkana,Lahore,764000,2024-06-03
PK-73242092,PakWheels,Car,Kia,Picanto,2024,1000,Diesel,CVT,0,Red,Excellent,1,Yes,Faisalabad,Bahawalpur,2896000,2023-01-15
PK-98871362,OLX,Motorcycle,Honda,CB 150F,2018,150,Petrol,Manual,64400,Silver,Excellent,3,Yes,Peshawar,Rawalpindi,212000,2023-07-25
PK-18545050,OLX,Car,Honda,HR-V,2022,1500,Petrol,Manual,22500,Black,Excellent,3,No,Un-Registered,Gujranwala,8117000,2023-06-28
PK-72778448,PakWheels,Car,Honda,BRV,2024,1500,Petrol,Manual,0,Green,Fair,1,Yes,Sargodha,Karachi,5112000,2024-07-15
PK-38410963,OLX,Car,Toyota,Vitz,2020,1000,Hybrid,Manual,39000,Blue,Needs Work,1,Yes,Peshawar,Sukkur,1700000,2023-02-27
PK-60598541,OLX,Motorcycle,Suzuki,GD 110S,2020,110,Petrol,Manual,29000,White,Good,3,Yes,Lahore,Karachi,123000,2023-03-17
PK-29196573,OLX,Motorcycle,Suzuki,GD 110S,2023,110,Petrol,Manual,9000,Red,Good,3,Yes,Karachi,Karachi,143000,2024-10-14
PK-68147182,OLX,Car,Hyundai,Santro,2023,1000,Petrol,Automatic,10000,Maroon,Good,1,Yes,Bahawalpur,Rawalpindi,2343000,2023-01-17
PK-81129661,PakWheels,Car,Honda,Civic,2023,1800,Diesel,Manual,13000,Grey,Excellent,1,Yes,Sialkot,Gujranwala,5486000,2024-12-28
PK-39957848,OLX,Motorcycle,Yamaha,R15,2022,155,Petrol,Manual,16000,Blue,Good,3,Yes,Sukkur,Islamabad,649000,2023-07-15
PK-62122376,OLX,Motorcycle,Yamaha,YBR 125,2018,125,Petrol,Manual,61200,White,Good,1,No,Un-Registered,Lahore,136000,2024-04-20
PK-61450152,OLX,Motorcycle,Ravi,RX 70,2021,70,Petrol,Manual,20400,Green,Excellent,1,Yes,Rawalpindi,Faisalabad,68000,2023-05-29
PK-44217681,PakWheels,Car,Changan,M9,2024,1000,Petrol,Manual,0,Grey,Good,1,No,Un-Registered,Lahore,2854000,2023-10-06
PK-44085977,OLX,Motorcycle,United,US 125,2020,125,Petrol,Manual,37000,Silver,Fair,1,No,Un-Registered,Rawalpindi,96000,2024-01-13
PK-89529542,OLX,Motorcycle,Honda,CB 150F,2019,150,Petrol,Manual,47200,Grey,Good,2,Yes,Faisalabad,Faisalabad,239000,2024-05-04
PK-71124923,OLX,Car,Suzuki,Jimny,2024,1500,CNG+Petrol,Manual,0,White,Fair,1,Yes,Sukkur,Lahore,5190000,2023-02-17
PK-69166287,PakWheels,Car,MG,HS,2023,1500,CNG+Petrol,Automatic,12500,Black,Excellent,1,Yes,Karachi,Peshawar,8616000,2024-10-05
PK-31727864,OLX,Car,Toyota,Hilux,2017,2800,Hybrid,Manual,41000,Grey,Excellent,1,Yes,Sukkur,Lahore,6375000,2023-07-06
PK-44797507,OLX,Motorcycle,Honda,Pridor,2016,100,Petrol,Manual,60600,Green,Good,3,Yes,Larkana,Faisalabad,85000,2024-11-04
PK-59546832,PakWheels,Motorcycle,Honda,CG 125,2017,125,Petrol,Manual,46600,Blue,Excellent,1,No,Un-Registered,Karachi,119000,2023-06-14
PK-84972183,PakWheels,Motorcycle,Suzuki,GD 110S,2021,110,Petrol,Manual,36000,Red,Good,1,Yes,Faisalabad,Hyderabad,126000,2023-04-19
PK-38480407,OLX,Car,MG,HS,2023,1500,Petrol,Automatic,16500,Black,Good,2,Yes,Faisalabad,Lahore,8638000,2023-08-04
PK-35541822,OLX,Car,MG,ZS,2021,1500,CNG+Petrol,Manual,33500,Grey,Needs Work,1,Yes,Karachi,Karachi,4675000,2023-08-25
PK-65117029,PakWheels,Motorcycle,Suzuki,GD 110S,2023,110,Petrol,Manual,5200,Silver,Good,2,Yes,Rawalpindi,Faisalabad,157000,2023-05-27
PK-52602681,OLX,Motorcycle,Honda,CD 70,2018,70,Petrol,Manual,51000,Orange,Excellent,2,Yes,Sargodha,Karachi,85000,2023-05-24
PK-36601541,PakWheels,Car,Suzuki,Cultus,2023,1000,Petrol,Automatic,14500,Pearl White,Good,1,Yes,Quetta,Hyderabad,2012000,2024-08-16
PK-31084819,OLX,Car,Kia,Stonic,2024,1000,Diesel,Manual,0,Green,Excellent,2,Yes,Multan,Gujranwala,5874000,2024-07-12
PK-45690939,OLX,Car,Suzuki,Swift,2017,1300,Petrol,Automatic,74500,Red,Needs Work,2,Yes,Gujranwala,Lahore,1870000,2024-07-09
PK-62496358,OLX,Car,Toyota,Prius,2021,1800,Petrol,Manual,28000,Grey,Fair,3,Yes,Multan,Rawalpindi,5710000,2023-08-12
PK-53679044,OLX,Car,Honda,City,2022,1200,Petrol,CVT,25500,Golden,Good,1,Yes,Islamabad,Lahore,3169000,2024-10-04
PK-75697427,PakWheels,Car,Kia,Sorento,2021,2500,Hybrid,Manual,34500,Golden,Fair,1,Yes,Lahore,Karachi,9134000,2023-07-11
PK-95036366,PakWheels,Car,Toyota,Land Cruiser,2020,4000,Petrol,Automatic,45500,Maroon,Fair,1,Yes,Rawalpindi,Karachi,22515000,2024-08-06
PK-17513199,PakWheels,Car,MG,HS,2023,1500,Hybrid,Manual,5500,Beige,Good,2,Yes,Sargodha,Peshawar,8214000,2024-05-30
PK-43999405,OLX,Car,Honda,BRV,2023,1500,Petrol,Automatic,17000,Red,Good,1,Yes,Sialkot,Sukkur,5237000,2024-04-23
PK-42950316,PakWheels,Motorcycle,Honda,CG 125,2022,125,Petrol,Manual,19000,White,Good,2,Yes,Faisalabad,Sukkur,156000,2023-08-20
PK-67134647,OLX,Motorcycle,United,US 100,2016,100,Petrol,Manual,74600,Silver,Good,2,Yes,Bahawalpur,Karachi,68000,2023-09-30
PK-57428064,PakWheels,Motorcycle,Suzuki,GS 150,2016,150,Petrol,Manual,97000,Orange,Good,2,No,Un-Registered,Karachi,128000,2024-01-16
PK-50962024,PakWheels,Car,Toyota,Hilux,2021,2800,Petrol,Manual,42000,White,Fair,1,Yes,Quetta,Quetta,6375000,2024-04-26
PK-45231120,PakWheels,Car,Hyundai,Elantra,2020,2000,Petrol,Manual,51000,Red,Excellent,1,Yes,Karachi,Sargodha,5222000,2024-04-03
PK-36216919,PakWheels,Car,Toyota,Vitz,2015,1000,Diesel,Manual,110000,Beige,Excellent,3,Yes,Bahawalpur,Hyderabad,1700000,2024-10-05
PK-29534824,PakWheels,Car,Toyota,Vitz,2013,1000,Hybrid,Manual,147000,Silver,Good,4,Yes,Karachi,Karachi,1700000,2024-02-28
PK-70719544,OLX,Motorcycle,Road Prince,RP 125,2021,125,Petrol,Manual,12600,Orange,Excellent,1,Yes,Faisalabad,Quetta,122000,2023-04-11
PK-24882947,OLX,Motorcycle,Honda,CG 125,2020,125,Petrol,Manual,40000,Silver,Good,3,Yes,Sialkot,Lahore,137000,2023-12-13
PK-30830979,PakWheels,Car,Honda,HR-V,2021,1500,Petrol,Manual,45500,Silver,Good,2,Yes,Islamabad,Islamabad,6957000,2024-06-18
PK-64362516,OLX,Car,Honda,BRV,2018,1500,Petrol,Manual,48500,Pearl White,Good,1,Yes,Faisalabad,Karachi,4142000,2024-08-10
PK-43822694,PakWheels,Car,Changan,M9,2022,1000,Hybrid,CVT,23500,Beige,Excellent,1,Yes,Multan,Lahore,2776000,2023-10-09
PK-63402482,PakWheels,Car,Suzuki,Jimny,2020,1500,Hybrid,Automatic,54500,Red,Good,1,Yes,Hyderabad,Gujranwala,4080000,2024-05-17
PK-74248731,OLX,Car,MG,ZS,2022,1500,CNG+Petrol,Automatic,21000,Silver,Needs Work,1,Yes,Hyderabad,Sialkot,4675000,2023-03-06
PK-32095950,PakWheels,Car,Changan,Alsvin,2020,1500,Hybrid,Manual,34500,Grey,Good,3,Yes,Larkana,Multan,2993000,2023-09-06
PK-81697212,OLX,Car,Honda,Civic,2018,1800,Petrol,Manual,70500,Grey,Good,3,Yes,Sargodha,Lahore,3570000,2023-01-22
PK-53372139,PakWheels,Car,Changan,Alsvin,2024,1500,Petrol,CVT,0,Green,Good,1,Yes,Sialkot,Rawalpindi,3956000,2023-07-11
PK-97043345,PakWheels,Car,Changan,Alsvin,2021,1500,Petrol,CVT,23500,Green,Good,1,Yes,Hyderabad,Karachi,3533000,2023-05-01
PK-43104159,OLX,Motorcycle,Suzuki,Gixxer 150,2021,150,Petrol,Manual,19800,White,Excellent,2,Yes,Karachi,Larkana,329000,2024-05-25
PK-66024961,PakWheels,Car,Toyota,Yaris,2021,1300,Hybrid,Manual,25500,Red,Excellent,1,Yes,Gujranwala,Faisalabad,2792000,2024-09-18
PK-63355970,OLX,Car,Hyundai,Santro,2021,1000,Diesel,Manual,46500,Blue,Good,1,Yes,Sargodha,Karachi,2090000,2023-02-15
PK-77405321,PakWheels,Motorcycle,Suzuki,GS 150,2016,150,Petrol,Manual,61600,White,Excellent,3,Yes,Karachi,Rawalpindi,128000,2023-11-19
PK-80355705,PakWheels,Car,Hyundai,Santro,2024,1000,Petrol,Automatic,0,Beige,Fair,4,Yes,Karachi,Karachi,2431000,2024-01-04
PK-59728926,OLX,Car,MG,ZS,2023,1500,Hybrid,Automatic,12500,White,Good,1,Yes,Peshawar,Peshawar,6200000,2023-11-25
PK-37681339,PakWheels,Car,Toyota,Fortuner,2016,2700,CNG+Petrol,CVT,55000,Maroon,Excellent,3,Yes,Islamabad,Lahore,7650000,2023-08-04
PK-99931125,PakWheels,Car,MG,5,2022,1500,CNG+Petrol,Automatic,28000,Pearl White,Good,1,Yes,Multan,Multan,4608000,2024-10-29
PK-45917890,PakWheels,Car,Toyota,Yaris,2023,1300,Petrol,Automatic,14500,Brown,Fair,1,Yes,Rawalpindi,Sialkot,2610000,2024-02-10
PK-58092949,PakWheels,Motorcycle,Yamaha,YBZ 125,2018,125,Petrol,Manual,30400,Green,Excellent,1,No,Un-Registered,Karachi,128000,2023-03-15
PK-66848954,OLX,Motorcycle,Ravi,RX 110,2021,110,Petrol,Manual,22000,Silver,Excellent,2,Yes,Hyderabad,Islamabad,98000,2024-01-23
PK-72274526,PakWheels,Motorcycle,United,US 100,2018,100,Petrol,Manual,42000,Orange,Good,2,Yes,Rawalpindi,Peshawar,68000,2024-08-24
PK-71439467,PakWheels,Car,Toyota,Corolla,2017,1800,Petrol,CVT,93500,Maroon,Excellent,1,No,Un-Registered,Karachi,3041000,2023-02-11
PK-57501571,OLX,Car,Toyota,Corolla,2015,1800,Petrol,Manual,131000,Maroon,Good,2,Yes,Karachi,Karachi,2975000,2024-07-24
PK-16103166,OLX,Car,MG,HS,2024,1500,Petrol,CVT,0,Black,Good,1,Yes,Faisalabad,Karachi,8265000,2023-07-03
PK-22381399,OLX,Car,Kia,Picanto,2024,1000,Petrol,Automatic,0,Maroon,Excellent,1,Yes,Peshawar,Karachi,3067000,2023-04-11
PK-92709205,PakWheels,Motorcycle,Honda,Pridor,2020,100,Petrol,Manual,41200,Red,Excellent,1,Yes,Hyderabad,Karachi,112000,2023-04-30
PK-14068828,PakWheels,Car,Changan,Alsvin,2023,1500,Petrol,Manual,15000,Pearl White,Good,3,Yes,Quetta,Karachi,3934000,2024-01-11
PK-64933188,OLX,Car,Kia,Stonic,2021,1000,Petrol,Manual,43500,Blue,Good,1,No,Un-Registered,Karachi,4916000,2023-09-23
PK-48717904,OLX,Car,Hyundai,Elantra,2022,2000,Petrol,Manual,22500,Golden,Good,3,Yes,Peshawar,Karachi,5494000,2024-01-29
PK-91737913,OLX,Car,Honda,Civic,2024,1800,Petrol,Manual,0,Grey,Good,3,No,Un-Registered,Karachi,5548000,2024-03-15
PK-52437340,OLX,Car,Honda,HR-V,2023,1500,CNG+Petrol,CVT,10500,Beige,Excellent,2,Yes,Karachi,Faisalabad,8259000,2023-11-08
PK-39616088,OLX,Car,Suzuki,Jimny,2020,1500,Petrol,Manual,55500,Blue,Good,1,Yes,Sukkur,Lahore,4369000,2024-09-04
PK-54626867,OLX,Car,Suzuki,Alto,2018,660,Petrol,Manual,80000,Maroon,Excellent,2,Yes,Peshawar,Sukkur,1360000,2024-06-15
PK-56298388,OLX,Motorcycle,Honda,CD 70,2020,70,Petrol,Manual,45200,Red,Excellent,2,Yes,Gujranwala,Islamabad,107000,2024-12-17
PK-87911634,OLX,Car,Changan,M9,2024,1000,Petrol,Automatic,0,Red,Good,2,Yes,Larkana,Lahore,2967000,2024-02-09
PK-23776553,OLX,Car,Toyota,Prius,2020,1800,Hybrid,CVT,41000,Maroon,Good,1,Yes,Sialkot,Islamabad,5941000,2023-11-20
PK-41074206,PakWheels,Car,Hyundai,Tucson,2022,2000,Petrol,Manual,28500,Beige,Fair,3,Yes,Peshawar,Islamabad,5850000,2023-02-15
PK-72815282,PakWheels,Car,Kia,Sorento,2021,2500,Hybrid,Automatic,33000,Beige,Good,2,Yes,Lahore,Karachi,11921000,2024-08-09
PK-87993653,PakWheels,Motorcycle,Honda,CB 125F,2021,125,Petrol,Manual,33200,Red,Fair,3,No,Un-Registered,Islamabad,152000,2024-05-22
PK-15733311,OLX,Car,Proton,X70,2022,1800,CNG+Petrol,Manual,21000,Golden,Excellent,3,Yes,Sukkur,Karachi,6768000,2023-12-02
PK-52687971,PakWheels,Car,Honda,City,2023,1200,CNG+Petrol,CVT,9000,Grey,Fair,2,Yes,Lahore,Islamabad,2936000,2024-05-07
PK-48561390,PakWheels,Car,Toyota,Land Cruiser,2013,4000,Diesel,Manual,101500,Pearl White,Good,1,Yes,Sargodha,Islamabad,21250000,2024-07-26
PK-70019796,PakWheels,Motorcycle,Honda,CB 125F,2022,125,Petrol,Manual,10800,Grey,Excellent,1,No,Un-Registered,Islamabad,215000,2023-11-14
PK-22956471,PakWheels,Car,Kia,Stonic,2024,1000,Hybrid,Automatic,0,Maroon,Fair,1,Yes,Quetta,Gujranwala,4736000,2024-10-07
PK-44795990,OLX,Car,Suzuki,Cultus,2023,1000,Petrol,Manual,13500,Grey,Fair,2,Yes,Multan,Multan,1809000,2024-10-28
PK-28479834,OLX,Motorcycle,Road Prince,RP 70,2023,70,Petrol,Manual,7800,Silver,Good,2,Yes,Quetta,Sargodha,78000,2024-06-02
PK-82496804,OLX,Car,Kia,Sorento,2023,2500,Diesel,Automatic,11500,Maroon,Needs Work,1,Yes,Peshawar,Lahore,8772000,2024-02-02
PK-30081256,OLX,Car,Toyota,Land Cruiser,2017,4000,Petrol,Manual,69000,Silver,Good,1,Yes,Karachi,Faisalabad,23662000,2024-04-26
PK-37876214,PakWheels,Car,MG,HS,2021,1500,Petrol,CVT,33000,Grey,Good,2,Yes,Karachi,Peshawar,7630000,2024-01-02
PK-26669845,OLX,Car,Kia,Sportage,2024,2000,CNG+Petrol,CVT,0,Grey,Fair,4,Yes,Lahore,Gujranwala,6194000,2024-07-06
PK-92916480,PakWheels,Car,Suzuki,Alto,2018,660,Petrol,Manual,41000,Grey,Excellent,2,Yes,Quetta,Peshawar,1360000,2023-05-23
PK-48835846,OLX,Car,Suzuki,Cultus,2022,1000,Petrol,Manual,21500,White,Excellent,1,Yes,Bahawalpur,Multan,2016000,2024-06-03
PK-94872855,OLX,Motorcycle,Suzuki,GD 110S,2020,110,Petrol,Manual,36400,Black,Good,1,Yes,Quetta,Karachi,133000,2023-01-10
PK-18277097,OLX,Car,Suzuki,Swift,2020,1300,Hybrid,Automatic,51000,Silver,Needs Work,1,Yes,Lahore,Rawalpindi,1870000,2024-04-18
PK-75915202,PakWheels,Car,Hyundai,Santro,2023,1000,CNG+Petrol,CVT,13000,Green,Good,3,Yes,Bahawalpur,Multan,2478000,2024-07-26
PK-39606648,PakWheels,Motorcycle,United,US 100,2023,100,Petrol,Manual,6600,Black,Good,1,Yes,Quetta,Lahore,100000,2023-03-03
PK-23223970,PakWheels,Car,Hyundai,Elantra,2022,2000,Petrol,Automatic,23500,Silver,Excellent,2,Yes,Karachi,Karachi,5696000,2023-11-27
PK-43736794,OLX,Motorcycle,Honda,Pridor,2017,100,Petrol,Manual,66000,Silver,Good,2,Yes,Karachi,Karachi,85000,2023-11-24
PK-61646980,PakWheels,Car,Changan,Oshan X7,2024,1500,Petrol,CVT,0,Black,Good,3,No,Un-Registered,Rawalpindi,6984000,2024-12-26
PK-10994315,PakWheels,Car,Toyota,Land Cruiser,2012,4000,Petrol,Automatic,144000,Brown,Good,2,Yes,Bahawalpur,Larkana,21250000,2024-08-08
PK-48632942,PakWheels,Motorcycle,Yamaha,R15,2019,155,Petrol,Manual,45400,Grey,Fair,1,Yes,Peshawar,Sargodha,510000,2023-04-09
PK-81363893,OLX,Car,Honda,BRV,2021,1500,Petrol,Manual,42500,Grey,Needs Work,1,No,Un-Registered,Karachi,3825000,2024-04-07
PK-47919353,PakWheels,Car,Suzuki,Every,2020,660,Petrol,Manual,47000,Black,Good,1,Yes,Hyderabad,Rawalpindi,2496000,2023-06-02
PK-90055976,PakWheels,Car,Suzuki,Jimny,2021,1500,Petrol,CVT,34500,Brown,Excellent,1,Yes,Rawalpindi,Peshawar,5096000,2024-06-03
PK-23331723,OLX,Motorcycle,Honda,Pridor,2021,100,Petrol,Manual,32000,Silver,Fair,2,Yes,Karachi,Lahore,100000,2024-01-15
PK-34278928,PakWheels,Motorcycle,Suzuki,GS 150,2016,150,Petrol,Manual,57200,Red,Excellent,1,Yes,Bahawalpur,Multan,128000,2024-01-28
PK-36188247,OLX,Motorcycle,Honda,CD 70,2016,70,Petrol,Manual,98400,Green,Good,3,Yes,Quetta,Peshawar,76000,2023-03-03
PK-65820179,OLX,Motorcycle,Yamaha,MT-15,2022,155,Petrol,Manual,14600,Red,Excellent,1,Yes,Lahore,Karachi,829000,2023-07-12
PK-70699404,OLX,Car,Toyota,Hilux,2020,2800,Petrol,Manual,40500,White,Excellent,3,Yes,Bahawalpur,Faisalabad,7483000,2024-12-03
PK-31337593,PakWheels,Car,Changan,Alsvin,2020,1500,Petrol,Manual,65000,White,Good,1,Yes,Islamabad,Gujranwala,3208000,2024-03-14
PK-66868668,PakWheels,Motorcycle,United,US 100,2022,100,Petrol,Manual,13200,Green,Good,3,Yes,Lahore,Lahore,100000,2024-09-02
PK-21089261,PakWheels,Motorcycle,Suzuki,GS 150,2018,150,Petrol,Manual,40600,White,Fair,2,Yes,Larkana,Peshawar,128000,2024-07-29
PK-67998720,OLX,Motorcycle,Yamaha,R15,2023,155,Petrol,Manual,7400,Green,Excellent,2,No,Un-Registered,Multan,764000,2023-10-23
PK-20951319,OLX,Motorcycle,Yamaha,R15,2019,155,Petrol,Manual,44200,Silver,Good,1,Yes,Hyderabad,Islamabad,510000,2023-02-14
PK-53246230,PakWheels,Motorcycle,Honda,CB 125F,2023,125,Petrol,Manual,8800,Silver,Needs Work,3,Yes,Gujranwala,Karachi,163000,2023-02-11
PK-33891435,OLX,Car,Kia,Sportage,2019,2000,Petrol,Manual,42500,Blue,Excellent,3,Yes,Sialkot,Islamabad,6038000,2023-08-10
PK-20613190,PakWheels,Car,Kia,Sportage,2023,2000,Hybrid,CVT,12000,Beige,Needs Work,1,No,Un-Registered,Rawalpindi,5100000,2024-10-15
PK-72390375,OLX,Motorcycle,Honda,CD 70,2021,70,Petrol,Manual,22200,Green,Good,2,No,Un-Registered,Rawalpindi,107000,2024-04-18
PK-87862790,OLX,Car,Changan,M9,2023,1000,Petrol,CVT,13000,Grey,Good,2,Yes,Quetta,Larkana,2803000,2024-08-10
PK-14047775,OLX,Car,Toyota,Land Cruiser,2021,4000,CNG+Petrol,Automatic,46000,Black,Good,1,Yes,Lahore,Rawalpindi,27258000,2023-01-21
PK-24592917,PakWheels,Car,Honda,HR-V,2022,1500,Petrol,Automatic,37000,Blue,Excellent,1,No,Un-Registered,Rawalpindi,7710000,2023-09-24
PK-80089957,OLX,Motorcycle,Honda,CD 70,2019,70,Petrol,Manual,21000,Silver,Fair,3,Yes,Islamabad,Hyderabad,84000,2023-12-06
PK-16901221,PakWheels,Motorcycle,Honda,CB 300R,2024,300,Petrol,Manual,0,Blue,Good,1,Yes,Hyderabad,Bahawalpur,886000,2023-01-16
PK-52232183,PakWheels,Motorcycle,Honda,CG 125,2020,125,Petrol,Manual,34400,Grey,Needs Work,1,No,Un-Registered,Islamabad,102000,2023-12-04
PK-27718376,PakWheels,Car,Suzuki,Jimny,2024,1500,Diesel,Automatic,0,White,Good,1,Yes,Sargodha,Sialkot,5335000,2023-11-28
PK-90388981,OLX,Car,Proton,X70,2022,1800,Hybrid,Manual,21000,Blue,Good,2,Yes,Hyderabad,Islamabad,6637000,2023-06-15
PK-64904534,PakWheels,Car,Hyundai,Tucson,2021,2000,Diesel,Manual,34500,Beige,Needs Work,2,Yes,Karachi,Islamabad,4675000,2024-10-11
PK-29757824,OLX,Car,Changan,Alsvin,2023,1500,Petrol,Manual,9500,Black,Excellent,1,No,Un-Registered,Karachi,4106000,2023-11-24
PK-48251875,PakWheels,Motorcycle,Suzuki,Gixxer 150,2024,150,Petrol,Manual,0,Green,Good,1,Yes,Lahore,Islamabad,374000,2023-11-30
PK-74343201,OLX,Car,Kia,Sorento,2023,2500,Petrol,Automatic,16000,Silver,Excellent,3,Yes,Sialkot,Multan,13270000,2023-07-12
PK-38445777,OLX,Car,Suzuki,Cultus,2024,1000,Petrol,Automatic,0,Pearl White,Excellent,1,Yes,Sargodha,Lahore,2351000,2024-03-13
PK-42581919,OLX,Car,Toyota,Fortuner,2023,2700,CNG+Petrol,Automatic,13500,Red,Needs Work,1,Yes,Hyderabad,Lahore,8270000,2023-01-15
PK-63359344,OLX,Car,Honda,City,2023,1200,Petrol,Manual,13500,Blue,Good,1,Yes,Lahore,Rawalpindi,3363000,2023-11-11
PK-67644489,PakWheels,Car,Proton,X70,2023,1800,Petrol,Manual,13000,Blue,Excellent,3,Yes,Quetta,Karachi,7697000,2024-06-28
PK-50261914,OLX,Car,Changan,M9,2022,1000,Petrol,Manual,24500,Pearl White,Excellent,2,No,Un-Registered,Quetta,2950000,2024-04-15
PK-92696695,OLX,Motorcycle,Honda,Pridor,2021,100,Petrol,Manual,32800,Green,Good,1,Yes,Faisalabad,Karachi,113000,2024-11-23
PK-55297384,OLX,Car,Toyota,Hilux,2021,2800,CNG+Petrol,Manual,42000,Golden,Excellent,3,Yes,Multan,Peshawar,7908000,2024-02-22
PK-89220363,PakWheels,Car,Toyota,Prius,2018,1800,Petrol,Manual,58500,Silver,Good,2,Yes,Gujranwala,Rawalpindi,5162000,2024-02-07
PK-84819349,OLX,Car,MG,5,2022,1500,Diesel,Automatic,17500,White,Fair,2,No,Un-Registered,Lahore,4432000,2024-05-20
PK-25747531,OLX,Car,Honda,City,2022,1200,Petrol,CVT,16500,White,Good,3,Yes,Hyderabad,Karachi,3215000,2023-08-19
PK-11411064,PakWheels,Car,Toyota,Yaris,2020,1300,Petrol,Automatic,65000,Red,Excellent,2,No,Un-Registered,Larkana,2329000,2023-10-06
PK-86198842,OLX,Car,Kia,Picanto,2020,1000,CNG+Petrol,Manual,54000,Beige,Good,1,Yes,Hyderabad,Quetta,2120000,2024-09-06
PK-18167678,PakWheels,Car,Toyota,Corolla,2019,1800,Hybrid,Manual,49000,White,Good,2,Yes,Peshawar,Sargodha,3318000,2024-04-01
